Ciara,Body Party,Ciara,https://open.spotify.com/track/0rFZaQ4crlGAzuCjWCQ2xu,71
Tove Lo,Cool Girl,Lady Wood,https://open.spotify.com/track/3tJ4y2Zqx6gM9xOAuFfsSF,70
Taylor Swift,I Knew You Were Trouble.,Red,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj,71
Taylor Swift,Shake It Off,1989,https://open.spotify.com/track/5xTtaWoae3wi06K5WfVUUH,74
Zara Larsson,I Would Like,So Good,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,75
Zara Larsson,Never Forget You,So Good,https://open.spotify.com/track/6hmhG1b4LEyNuashVvuIAo,78
Kesha,Praying,Rainbow,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,82
Alicia Keys,Girl On Fire,Girl On Fire,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco,74
Dua Lipa,Scared to Be Lonely,Scared to Be Lonely,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,88
Ciara,Dance Like We're Making Love,Jackie (Deluxe),https://open.spotify.com/track/3biFdxByHgUhTbp2dG89zK,61
Selena Gomez,Bad Liar,Bad Liar,https://open.spotify.com/track/2fZQIJew3nkNe99s2PKzul,81
Fifth Harmony,All In My Head (Flex),7/27 (Deluxe),https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm,78
Ciara,Goodies,Goodies,https://open.spotify.com/track/3dFwpxh2yH7C7p9BGEKLVB,67
Katy Perry,The One That Got Away - Acoustic,Katy Perry - Teenage Dream: The Complete Confection,https://open.spotify.com/track/5jx8tCxiO0uIbo2uNia23K,73
Banks,Warm Water - Snakehips Remix,Warm Water (Snakehips Remix),https://open.spotify.com/track/63Ly2sEzloc9s0yAXlMi6r,61
Carly Rae Jepsen,Good Time,The Midsummer Station,https://open.spotify.com/track/1kPpge9JDLpcj15qgrPbYX,63
Rihanna,Love On The Brain,ANTI,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,77
Demi Levato,Confident,Confident (Deluxe Edition),https://open.spotify.com/track/0Mn3amMRMoabaoTf1Publ4,70
Halsey,Eyes Closed,hopeless fountain kingdom (Deluxe),https://open.spotify.com/track/2WQn7Yvs728KZmmY6tgWqH,73
Kesha,Learn To Let Go,Rainbow,https://open.spotify.com/track/1g1TeDflB6atAy7HKwrzXu,71
Lady Gaga,Perfect Illusion,Joanne (Deluxe),https://open.spotify.com/track/56ZrTFkANjeAMiS14njg4E,69
Demi Levato,Cool for the Summer,Confident (Deluxe Edition),https://open.spotify.com/track/2zFF6jG5hQArbzcXz3KUWk,70
Daya,New,New,https://open.spotify.com/track/4tERsdVCLtLtrGdFBf9DGC,68
Ariana Grande,Break Free,My Everything (Deluxe),https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4,71
Alicia Keys,Try Sleeping With a Broken Heart,The Element Of Freedom,https://open.spotify.com/track/1yK9LISg5uBOOW5bT2Wm0i,63
Beyonce,Irreplaceable,B'Day,https://open.spotify.com/track/1G7DcLzPnopdZjLkev0K4e,66
Jessie J,Price Tag,Who You Are (Platinum Edition),https://open.spotify.com/track/5mvKuE9Lf9ARVXVXA32kK9,63
Kesha,Let 'Em Talk,Rainbow,https://open.spotify.com/track/1nxufatvWIGPPBtPACXzu8,68
Lorde,Perfect Places,Melodrama,https://open.spotify.com/track/7ARveOiD31w2Nq0n5FsSf8,73
Taylor Swift,Wildest Dreams,1989,https://open.spotify.com/track/59HjlYCeBsxdI0fcm3zglw,73
Lorde,Homemade Dynamite,Melodrama,https://open.spotify.com/track/02oAUzv4M0ItuTDy2RT3IT,72
Adele,Make You Feel My Love,19,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,71
